2.288133031,1.231625094,0.98297808,1.95047619,1.470657596,2.159455782,1.493817083,0.673378685,0.746908541,1.563469388,0.340559335,1.513167045,0.185759637,0.255419501,0.497294029,0.761269841,0.226394558,0.414081633,0.166417234,0.176077098,0.241882086,0.394739229
2.711209373,1.748960695,1.451526833,2.412199547,1.903469388,2.643424036,1.86382842,1.125963719,1.140763416,1.975328798,0.84229025,2.017932729,0.947932729,0.692671958,0.989852608,1.20739229,0.720298564,0.818208617,0.63553288,0.642358277,0.680589569,0.822705971
3.190808769,2.219440665,1.888556312,2.79026455,2.272539683,3.056621315,2.226889645,1.590566893,1.550256992,2.359047619,1.302191988,2.446303855,1.602176871,1.084474679,1.482467876,1.61547619,1.272834467,1.191111111,1.085170068,1.120181406,1.076145125,1.290804989
3.65835223,2.713578987,2.354890401,3.221768707,2.750385488,3.555222979,2.679969766,2.101405896,2.020245654,2.852380952,1.780241875,2.968219955,2.374006047,1.513167045,2.029811036,2.070200302,1.801481481,1.58755102,1.615714286,1.614807256,1.555578231,1.778261527
4.107993198,3.160566894,2.791995465,3.66957294,3.142721088,3.981160242,3.064319728,2.546122449,2.489697657,3.246507937,2.241148904,3.399501134,3.086216931,1.928148148,2.543015873,2.485151172,2.289705216,2.019501134,2.038684807,2.089727891,1.997052154,2.210914589
4.506122449,3.576356765,3.188356009,4.034467121,3.550634921,4.393767952,3.390113379,2.960544218,2.815706727,3.646439909,2.698790627,3.831292517,3.733484505,2.262585034,2.949058957,2.929300832,2.779644747,2.312154195,2.517437642,2.465192744,2.331678005,2.664667423
5.05324263,4.075060469,3.686167801,4.531761149,4.017505669,4.899274377,3.871927438,3.47138322,3.318465609,4.154739229,3.246923658,4.365495087,4.518216175,2.720604687,3.500423281,3.415559335,3.356341648,2.700680272,3.059183673,2.975918367,2.879410431,3.188873772
5.475377929,4.541458806,4.102996977,4.912777778,4.438548753,5.360884354,4.286190477,3.931655329,3.723427815,4.562539683,3.706866969,4.846798942,5.263454271,3.119648526,3.993643235,3.839939532,3.861727135,3.087664399,3.537460317,3.477301587,3.330770975,3.605177627
5.920975056,4.923597883,4.518235072,5.327033258,4.837482993,5.73250189,4.642690854,4.376961451,4.082528345,4.947823129,4.178004535,5.251579743,5.948178383,3.510083145,4.436201814,4.248582767,4.349402872,3.437142857,3.976077098,3.881609977,3.721133787,4.068473167
6.446439909,5.432195767,4.987320483,5.7856387,5.28446712,6.186931217,5.114066516,4.899410431,4.554981104,5.400566893,4.725260771,5.762940287,6.728015873,3.941587302,4.968518519,4.716024188,4.83952381,3.831292517,4.498866213,4.365351474,4.206553288,4.590835223
